2025-08-23 13:00:27,638:INFO:Device: cuda
2025-08-23 13:00:28,675:INFO:Epoch 0: Train Loss: 261.5176, Val Loss: 258.6126, Dyn Loss: 261.5176, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:00:32,314:INFO:Epoch 50: Train Loss: 0.1606, Val Loss: 0.1430, Dyn Loss: 0.1606, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:00:35,954:INFO:Epoch 100: Train Loss: 0.0750, Val Loss: 0.0708, Dyn Loss: 0.0750, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:00:39,704:INFO:Epoch 150: Train Loss: 0.0497, Val Loss: 0.0465, Dyn Loss: 0.0497, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:00:43,417:INFO:Epoch 200: Train Loss: 0.0374, Val Loss: 0.0323, Dyn Loss: 0.0374, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:00:47,052:INFO:Epoch 250: Train Loss: 0.0305, Val Loss: 0.0225, Dyn Loss: 0.0305, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:00:51,543:INFO:Epoch 300: Train Loss: 0.0260, Val Loss: 0.0183, Dyn Loss: 0.0260, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:00:55,424:INFO:Epoch 350: Train Loss: 0.0225, Val Loss: 0.0149, Dyn Loss: 0.0225, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:00:59,103:INFO:Epoch 400: Train Loss: 0.0198, Val Loss: 0.0129, Dyn Loss: 0.0198, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:01:09,287:INFO:Epoch 450: Train Loss: 0.0174, Val Loss: 0.0126, Dyn Loss: 0.0174, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:01:13,016:INFO:Epoch 500: Train Loss: 0.0158, Val Loss: 0.0114, Dyn Loss: 0.0158, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:01:16,755:INFO:Epoch 550: Train Loss: 0.0142, Val Loss: 0.0109, Dyn Loss: 0.0142, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:01:27,285:INFO:Epoch 600: Train Loss: 0.0130, Val Loss: 0.0102, Dyn Loss: 0.0130, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
